frame_id,total score,0's score,1's score,2's score,3's score
0,127439.88398561908,12802.855939195673,13052.046644597083,24150.443244431135,77434.53815739519
1,141757.66560479888,15466.84468130468,15465.338781262015,29337.657760126527,81487.82438210567
2,151497.820522285,17246.781519738666,17244.67944740783,32819.13245324917,84187.22710188932
3,161307.6828702758,18837.176421864973,18834.75724498929,36566.19740221615,87069.55180120542
4,169136.34514608726,20526.02340383133,20523.45603411249,39222.306235372685,88864.55947277075
5,176690.4883147364,21948.420524561632,21946.0165468844,42003.34264156148,90792.70860172888
6,182833.00114168902,23228.755310404787,23226.24937078579,43957.58420047446,92420.41226002401
7,192774.3099803272,25020.718201339096,25018.602826806688,48002.18884429249,94732.80010788894
8,203458.8965568157,27048.59332405044,27047.17661555297,51955.48412080175,97407.64249641052
9,214898.9836237055,29173.42421001743,29171.378617758783,56078.556626234706,100475.62416969461
10,227280.87482789738,31846.591543125764,31844.18687344317,60382.438156847675,103207.65825448079
11,240025.6266680041,34175.71972035547,34173.091405351246,65747.88656717584,105928.92897512153
12,252325.91245353094,36590.77261066837,36587.35806337213,70382.85676094986,108764.92501854055
13,264962.33023797494,39089.44227403464,39085.227465693955,75144.99721948097,111642.66327876538
14,276856.59133653314,41148.412466993446,41142.374490982176,80010.32931953251,114555.475059025
15,291630.6839263562,44309.09733677866,44303.8500477001,84968.98542094411,118048.75112093332
16,307083.8350978809,47568.33140641213,47554.348553402415,90990.15705635985,120970.99808170651
17,320640.9016053956,50343.14892868414,50331.799301932304,96056.58107277013,123909.37230200897
18,334365.365355353,53163.503136205225,53154.121555251906,101085.22753999862,126962.51312389728
19,348039.5094080885,56011.49189575976,56000.19433126649,106103.39879250707,129924.42438855518
20,361715.0716914079,58898.10674629125,58882.57068310453,111070.1588969085,132864.23536510367
21,375275.6829612552,61789.9258684131,61772.40520057156,115968.83826549596,135744.51362677457
22,390305.6220576166,65230.15393259388,65212.993763789804,120707.82624045496,139154.6481207779
23,405928.00679764216,68107.37002788996,68636.10304017951,127259.33564287817,141925.19808669452
24,419706.96482796693,71491.15558509674,71467.50475572473,131586.60767988465,145161.6968072608
25,432015.94205917645,74292.12905013525,74269.21034620673,135687.0312179573,147767.57144487722
26,443845.5809432805,77097.75449872085,76969.67334497566,139526.82033118143,150251.33276840253
27,455928.88959042646,80208.07770383623,79506.29812130278,143182.0377896255,153032.47597566195
28,467306.13818341563,82739.12026552753,81962.53776680159,147565.78471900488,155038.69543208164
29,477575.38668003643,86108.4227265687,83664.91727946163,151113.57761987875,156688.46905412732
30,484977.08621709043,89405.3917617346,84724.94565016829,153212.087021235,157634.66178395253
31,489330.2300859391,92636.54941491954,85220.50411387564,153181.6517761298,158291.52478101413
32,492363.7200884041,95404.68270726825,85728.34705608826,152487.13839463893,158743.55193040863
33,494460.40541185386,98203.41141499772,86117.78725634013,150994.55494004,159144.65180047601
34,497176.4839532381,101768.22288152827,86520.70923328678,149366.86196027792,159520.68987814515
35,499354.9325171801,105171.09465208357,86986.189733604,147278.52707702448,159919.12105446812
36,501411.31077348214,108224.47724838126,87484.28662015816,145428.93240562646,160273.61449931626
37,503420.3631651595,111077.97405423484,88071.42142870271,143592.56300770756,160678.40467451437
38,505892.48529782856,114174.80500278236,88753.27647946672,141905.05734490757,161059.34647067194
