frame_id,total score,0's score,1's score,2's score,3's score
0,155784.17612169392,12802.740487033989,12802.318124275602,24119.41632168694,106059.70118869739
1,170135.91224919917,14903.98844793777,14902.843462723935,28223.470356644804,112105.60998189266
2,181516.11740960172,16637.74684098629,16636.114334948095,31602.282938235614,116639.97329543174
3,191694.5348128599,18189.118392880842,18186.90341322281,34646.498860315805,120672.01414644044
4,202398.27716743902,19838.582282688676,19836.21569548839,37862.9830030918,124860.49618617016
5,213485.18216848024,21586.6793696788,21584.607919023132,41283.43757676195,129030.45730301636
6,224199.66469218343,23197.42322100327,23195.47298618421,44454.4531979171,133352.31528707885
7,236368.64817062966,25132.57944547467,25130.53370122756,48223.96202386925,137881.57300005818
8,249187.28743979533,27166.405529314696,27164.377198964463,52192.525301676746,142663.97940983943
9,262605.4331720695,29298.137953188303,29294.891738060047,56332.26983097027,147680.13364985085
10,277470.8776850552,31524.005368383052,31520.296087724444,60637.987758012496,153788.58847093518
11,293012.3627605848,33841.549769420424,34309.634493819445,66006.57649564536,158854.60200169956
12,307372.91071765404,36734.20282129437,36728.836173806616,69706.00758457903,164203.86413797401
13,325096.00948623405,39238.14701779129,39740.98362374096,75405.87992903935,170710.99891566247
14,341635.51331840816,41818.49537785978,42330.85415837128,81264.26006413512,176221.90371804198
15,358045.87219466706,45001.06454708714,44994.71291862254,86231.18343750684,181818.91129145055
16,377462.98549223144,48266.12125101058,48261.05528710989,92284.51330988732,188651.2956442237
17,393859.2304932927,51049.77870118232,51034.443376485004,97338.24829689984,194436.76011872553
18,408711.65805622976,53870.022055351765,53291.93263746811,101346.38227113546,200203.32109227445
19,426878.2572524711,56725.381707869754,56698.21739288777,107380.85235971306,206073.80579200052
20,443353.39889463113,59590.7111561142,59561.86803972789,112296.86281245606,211903.95688633304
21,460889.7799127374,62459.315087688796,62421.4805813727,117108.33811798728,218900.64612568857
22,479209.19392970385,65864.29995643518,65818.89001546842,122822.73199001906,224703.27196778118
23,495937.443617821,68697.01875158965,68658.55371040717,128220.8606965154,230361.01045930875
24,512672.3868890639,71991.10364000191,71947.53550129023,131469.6233599645,237264.12438780727
25,528679.80235732,74704.2829420146,74645.00129003664,136370.35520800418,242960.1629172645
26,543004.9121265752,77318.8463309016,77240.4800164972,139874.54394681272,248571.0418323637
27,559248.1194902709,80611.57676209575,79496.62241706732,144199.42256906806,254940.49774203965
28,572301.1490615098,83666.61855669881,81930.06386490926,146830.3266632567,259874.13997664498
29,584056.9357557789,87051.71859748391,83905.60796722706,148331.02941114726,264768.5797799207
30,589916.867929824,89567.7508759134,84725.58313935576,148184.0172336671,267439.5166808878
31,594126.874753919,92531.37793887519,85461.83489295345,146483.72560605334,269649.93631603697
32,596947.7570281916,95314.67218265851,85902.63631137197,144406.09875332043,271324.34978084074
33,600114.9504851876,98547.28537517332,86337.52847124863,141676.26036404047,273553.8762747252
34,602894.9812423052,101397.99982157742,86782.23731584629,138999.863655376,275714.8804495056
35,605573.5696924577,104417.15747269848,87208.18180856796,135666.00384696215,278282.2265642291
36,608501.8726313364,107587.53117726208,87705.74802852087,131779.65399616907,281428.9394293844
37,610575.480832387,110015.64990996901,88101.74928019161,128339.31960715361,284118.7620350728
38,612806.6267297355,111983.01227135943,88479.87902008658,125129.6508540038,287214.0845842857
39,614990.7849022913,113479.30699168042,88841.18128626866,122126.84976457006,290543.4468597721
40,617438.8621454887,114629.48844109882,89252.533258065,119356.11484710197,294200.72559922293
41,618872.6700822299,115211.66041474002,89574.55748256721,116786.39985692332,297300.0523279993
42,620562.1149931247,115483.3570406947,89948.57692231884,114330.69265418484,300799.48837592633
43,621914.241419347,115544.68960472882,90243.38271063895,112648.71414241267,303477.4549615666
44,623572.2884947566,115390.56530387921,90529.92733338241,111151.01460983438,306500.7812476606
45,624125.4404578956,115020.03497304446,90813.71633549426,109726.66065241703,308565.0284969399
46,625202.1853522643,114526.17112606573,91142.66099345079,108697.8411773694,310835.5120553784
47,626415.0672784001,113877.33689477465,91425.32459815842,107835.7760662676,313276.6297191994
48,627341.1390378333,113161.1106329658,91762.68223030286,106979.81096437472,315437.53521019
49,627610.7806826766,112375.704444343,92049.58534414481,106355.84957043774,316829.6413237511
50,628157.5830629604,111655.12761100745,92380.46059155681,105881.8429502973,318240.15191009885
51,628442.2762552053,110939.35299243058,92620.20116102693,105443.59335961382,319439.12874213397
52,628828.0274870076,110150.47510278893,92901.4460037324,105103.04333098988,320673.0630494964
53,628850.4142169682,109343.5900355734,93234.11201636346,104779.6881695341,321493.0239954972
54,628864.132469741,108561.75394977306,93572.68346515432,104520.8005326002,322208.8945222135
55,628604.579241364,107682.92206167424,93857.47204628671,104258.81814642575,322805.3669869773
56,628203.9995095978,106870.37975246462,94126.3562248725,104000.94612880527,323206.3174034554
57,627690.6545910701,106062.03173904339,94401.15207000189,103779.01048242205,323448.4602996028
58,626989.5971495293,105148.62880721278,94751.86045204259,103529.98003140664,323559.1278588673
59,626085.5264965239,104294.13824310261,95031.86492961596,103281.77993307546,323477.7433907299
60,625279.0377727002,103472.43122091483,95311.60236571982,103022.86466002447,323472.1395260411
61,623585.6825848944,102777.0647989913,95581.78082486456,102766.43726842053,322460.39969261794
62,622092.503091991,102088.77870482748,96001.22471283254,102311.31484186256,321691.1848324683
63,620683.1565827166,101671.34744955896,96319.61662841667,101767.75592416519,320924.43658057577
64,619156.8698434298,101309.40246722463,96591.31140050715,101162.62902386287,320093.52695183514
65,617665.5963416416,101040.24418204272,96901.29848396237,100560.16836981016,319163.8853058263
66,616247.2048722595,100626.38929780893,97132.75065923868,100265.27419320411,318222.7907220078
67,614477.1547792158,100138.56384100497,97331.82869407786,100063.09523771366,316943.6670064194
68,612656.9915883526,99692.85748567809,97675.20343527157,99687.99287440389,315600.9377929991
69,608912.9324812089,99381.82848184576,98099.38332425931,99067.8801926654,312363.84048243845
70,606138.6082175776,98827.1135858279,98375.60676394794,98671.49479707632,310264.3930707254
71,608879.267588838,98455.13286279571,98864.63933138044,98665.16912898926,312894.3262656726
72,608313.7852208844,98528.20838609916,98529.25291255841,98679.48663341603,312576.83728881076
73,609467.3193919257,98692.9385568335,98681.64652882204,98610.8208406989,313481.9134655713
74,606259.8385349794,98530.89028268965,98545.86403815776,98683.4111784415,310499.67303569044
75,607897.3267967014,98555.39105514878,98543.47046056959,98660.45919464454,312138.00608633854
76,607803.6664961054,98746.54695523853,98593.45190889374,98505.98745137529,311957.6801805978
77,605955.2304444172,98522.41966894871,98647.34082445246,98675.62357075611,310109.84638025996
78,607658.8871260845,98526.37278251951,98576.74726594532,98681.57368475711,311874.19339286257
79,607328.6444167779,98729.88268329689,98565.50950407618,98536.70342650688,311496.548802898
80,607681.9527181784,98576.97395341404,98740.4571397246,98505.22020278059,311859.3014222592
81,608552.7839551237,98529.35893830795,98749.507781764,98756.27072762986,312517.646507422
82,606760.3660489528,98653.15572389263,98509.94829258946,98709.44263221124,310887.8194002594
83,608369.3030433687,98861.1740658048,98547.99666253931,98442.22013284787,312517.9121821768
84,605937.0338756429,98621.39652202679,98679.79152034326,98518.13975777414,310117.7060754987
85,607940.9859520909,98454.76079910815,98811.03814419213,98708.3425740501,311966.8444347405
86,607337.8427242807,98800.6831877172,98638.09741467822,98647.30927176145,311251.7528501238
87,606959.416007234,98695.01753829957,98602.39470547193,98531.91486792083,311130.08889554173
88,606629.3477539332,98663.19086865522,98542.44520539188,98509.77626789625,310913.93541198975
89,607549.911522971,98650.02659507969,98792.66770646385,98518.3508316233,311588.86638980417
90,607799.0616270729,98570.64840174867,98558.49660475437,98604.70906726681,312065.207553303
91,607531.4855586487,98770.57079504838,98545.29632372939,98520.88046679593,311694.737973075
92,606992.5647699687,98745.69874182038,98662.23581684171,98463.24605811136,311121.3841531953
93,607861.8863578638,98452.55431433636,98732.42713240354,98535.84137333442,312141.0635377895
94,607100.0500352632,98526.27590402837,98549.61516111314,98684.9102046668,311339.2487654549
95,607949.7568650369,98773.94007985137,98583.15190201257,98377.95712977058,312214.7077534025
96,606498.8701225908,98580.5547582153,98661.24398196737,98450.37828198401,310806.69310042413
97,608598.0464099819,98607.19330258008,98584.05797008151,98695.26910500193,312711.5260323184
98,606936.741326957,98468.63766492932,98482.1154149521,98868.97734085249,311117.0109062231
99,605939.7227356874,98558.08790168386,98674.8069542908,98581.99785668196,310124.8300230308
100,607773.7817971813,98491.97507785323,98629.2231077771,98740.78773211158,311911.7958794395
101,606064.1229005458,98417.7196750153,98616.37774148978,98715.99367386088,310314.03181017993
102,607725.2792378485,98461.16627962311,98482.00988900007,98828.55372532915,311953.5493438962
103,606010.0582589125,98537.61901609522,98439.6575071489,98606.64090005468,310426.1408356137
104,607725.8175109606,98467.08037440939,98704.58578248441,98619.79852192749,311934.35283213935
105,607136.0367618426,98579.61232438919,98709.52690922677,98663.73160082575,311183.16592740087
106,606179.5181614954,98491.65649917768,98505.09020211324,98796.07149216812,310386.69996803644
107,609385.3337970797,98467.27064702488,98557.33951136743,98654.23002526676,313706.49361342064
108,606677.5342501362,98462.76681847038,98519.14104847609,98542.9985653389,311152.6278178509
109,607661.3904871638,98775.41894216536,98448.65911493331,98665.02610022353,311772.28632984165
110,606955.7835144713,98470.82961262568,98520.03570498683,98619.11205779755,311345.80613906117
111,605342.7777882265,98470.85203225951,98716.27854401585,98505.06593173604,309650.58128021506
112,607727.026573392,98478.40869458667,98793.28590194447,98575.25034935684,311880.08162750397
113,606312.931736557,98471.58517754907,98623.85402522066,98715.7200735103,310501.7724602771
114,606572.5858501857,98493.7740151576,98698.02369653257,98570.62190531574,310810.16623317986
