frame_id,total score,0's score,1's score,2's score,3's score
0,8503.66390080826,2159.7240890609123,2157.61589402056,4176.299644704744,10.024273022042516
1,23714.304372685867,6191.69437693093,6184.506963621742,11328.03404978081,10.06898235238529
2,43536.291983606345,10636.640664916742,11197.535046048733,21691.99217302251,10.124099618357214
3,77804.66499118332,18595.672344526673,19511.684831380655,39687.08249492779,10.225320348220206
4,133271.115970044,32732.89064915656,34224.92693013894,66302.92456450632,10.373826242186611
5,232790.7172898918,57353.61658330388,59729.31154377692,115697.14222336301,10.646939447960834
6,354404.29387571895,88383.1931660656,88358.73943389922,177651.41042152527,10.950854228883154
7,506903.2574911179,126631.82566087165,126597.71970528328,253662.3124752783,11.39964968467797
8,719759.9530339972,181189.808251568,187865.40104318046,350692.84462013136,11.899119117418799
9,787429.5335363268,200221.00358856516,200164.79444114937,387031.71492150705,12.020585105250868
10,841919.4558262456,214222.69839494088,214239.5970719449,413444.9692380353,12.191121324465307
11,918301.3843339544,234431.10871479847,232328.20238920156,451529.71438939223,12.358840562151821
12,974533.0920453395,247631.80970712524,247570.9757760107,479317.7935329471,12.513029256419502
13,1039305.2839404689,266112.2351978545,266037.21367666096,507143.1589647896,12.676101163849335
14,1112490.4818449095,283885.6181271955,283813.92251630087,544778.060457366,12.88074404703243
15,1185968.7778639211,304009.8520671002,303911.4724879991,578034.4030138545,13.050294967198516
16,1252133.84991751,321599.621216593,321496.79732492776,609024.1954049653,13.235971023832958
17,1326051.676869627,340194.84526688023,341691.9327261071,644151.4771887562,13.421687883570828
18,1405608.2615515548,363124.83678919735,361027.9167990246,681441.9023184648,13.605644867842594
19,1483065.9377455842,382552.9002129805,381166.709589594,719332.5154576581,13.812485351589373
20,1569937.8283657175,411683.17683930026,403687.24289482675,754553.3645949896,14.044036600935273
21,1661956.2718200008,439305.4587347797,426833.9156519427,795802.6166175659,14.280815712468593
22,1763703.0043216704,473535.0461732074,451957.30035169853,838196.1216706687,14.53612609584461
23,1856931.2097466097,510088.30752312083,473428.1728926722,873399.9562304765,14.773100340173135
24,1947968.2044133947,547114.5679331697,494963.5293688165,905875.1166394394,14.990471969133296
25,2036164.5155702152,590031.5809823517,516233.71001115604,929884.0214078261,15.203168881443993
26,2121964.078189173,635698.4951389834,538875.7083479612,947374.4474035245,15.42729870395012
27,2202522.3762508053,677227.9913656348,559616.0418542123,965662.7283172711,15.61471368705587
28,2274847.066852694,722402.0682316996,578645.2891058195,973783.8919645213,15.817550653583487
29,2360338.6562198983,773613.1779940325,599362.796712161,987346.6637858915,16.01772781341048
30,2435011.2107373835,819098.5991653864,618284.2046936977,997612.2091642849,16.19771401448182
31,2506062.204543939,861101.4607882483,636938.9766020316,1008005.3939616384,16.373192020615157
32,2584039.942411496,906915.9427023585,657106.590580471,1020000.8506684542,16.558460212203833
33,2651329.6167922905,940398.6258533417,676729.9660751632,1034184.2886965943,16.73616719121265
34,2721616.076641746,975167.9051475589,695861.4867786082,1050569.7792665057,16.905449073296385
35,2786415.143037258,1004910.5399972468,714981.067563864,1066506.482872688,17.052603459174254
36,2845797.2879745746,1033292.384951973,732350.7347264772,1080136.9656573788,17.20263874560115
37,2905132.6890546903,1059267.1178239556,752411.9484549651,1093436.2826997335,17.34007603638679
38,2955084.9170487886,1080582.549972983,767255.0540210996,1107229.847639381,17.4654153252992
39,3002380.887063492,1097727.1893116105,786444.1880368663,1118191.9221827718,17.587532243456142
40,3046448.915232977,1112498.7251548278,805377.256887971,1128555.2459959749,17.687194203537125
41,3080897.307669511,1123362.3856033713,820561.4804001962,1136955.667855056,17.773810887775426
42,3116421.027355766,1133041.3396415315,839470.0133681059,1143891.82742251,17.846923618640567
43,3138746.565379315,1137889.1976902448,854587.8025076842,1146251.6547478351,17.91043355132534
44,3158733.85337807,1139840.6031142953,872536.974519915,1146338.3246161537,17.951127706103044
45,3174349.5761527815,1140797.768207318,887515.2650550546,1146018.5653155309,17.97757487817928
46,3179932.955230263,1135745.0392494318,901569.8211872893,1142600.0988872396,17.995906302045874
47,3181060.632731308,1129615.3313911494,916934.540546131,1134492.7612451792,17.99954884850984
48,3181818.7095118007,1121665.371479438,935549.926823814,1124585.4116593455,17.99954920308628
49,3188111.712860712,1112366.4685978931,961062.3710596447,1114664.8736539707,17.9995492029962
50,3189264.520939646,1101548.400739552,983477.6852950137,1104220.435355877,17.999549202990227
51,3189941.4030425176,1092045.0044631325,1003931.1485525756,1093947.2504775962,17.999549213418817
52,3183376.393827413,1077903.6940774387,1026341.5890679406,1079113.111132822,17.999549212050265
53,3186494.0257107103,1068634.4446787222,1051935.3070602552,1065906.274422264,17.99954946852439
54,3189479.815833271,1065078.2760006723,1059604.1124974296,1064779.4275313853,17.999803784027698
55,3182003.4401793364,1067528.2798457423,1051908.2266672899,1062548.9337554867,17.999910817276987
56,3197894.7436980996,1067222.305956394,1059477.1313149964,1071177.3068478568,17.999578852765257
57,3182184.394927905,1067466.2523852817,1050801.8072730254,1063898.335431182,17.999838416123072
58,3184916.617738491,1068063.0125584975,1056976.4207370607,1059859.184521087,17.999921845944197
59,3189715.3534456575,1064019.0118335912,1064287.4786052615,1061390.8631155917,17.999891213542995
60,3181624.972367612,1065441.7402100444,1057078.3129262165,1059086.919665977,17.99956537413081
61,3184354.051540006,1059585.0432207822,1063511.7945612883,1061239.2142938224,17.999464112776582
62,3196068.894431266,1063338.2323148514,1065723.356368762,1066989.3057798967,17.999967755866145
63,3184062.4216599236,1057445.34337533,1059067.3094284877,1067531.7698750985,17.998981007518292
64,3196081.4118256476,1066732.3936486552,1058807.1245414678,1070523.893719562,17.999915962786485
65,3182944.2898934158,1055485.9896728082,1061940.016189028,1065500.2841894033,17.99984217599457
66,3199699.5746627296,1063862.7874746907,1066156.6245071336,1069662.1631280389,17.99955286621412
67,3193695.20029427,1070299.246834243,1060429.9104772175,1062948.043023523,17.99995928673995
