frame_id,total score,0's score,1's score,2's score,3's score
0,10627.331697338052,2659.6948537421677,2820.4503833668223,5137.15478642025,10.031673808811659
1,40053.18927431718,9794.954352310773,10309.819958883083,19938.300618802692,10.114344320630057
2,82301.96766322239,20946.17464814116,20918.28098606139,40427.282115103386,10.229913916450217
3,172972.81376576293,43544.29111555303,45413.396449959975,84004.63266883655,10.493531413375186
4,309502.9397764673,80312.94348820316,80237.81585096916,148941.28360638797,10.896830906985503
5,545563.0660246187,137856.5643671543,133157.04458824554,274537.9405188395,11.51655037933877
6,845815.16479691,215707.93419469905,215470.91219850833,414624.0662006774,12.25220302511192
7,1068699.3282939715,273369.4571064092,271567.4404986577,523749.62414692016,12.806541984405118
8,1195184.832165781,307328.84058761696,308549.688676306,579293.1958000732,13.107101784647856
9,1327970.4100293168,342077.74199283373,339808.28909821797,646070.9681627424,13.410775522679062
10,1457219.0743350172,377423.55120675545,374692.4577061473,705089.2744532311,13.790968883201783
11,1580753.466016619,409289.8548818807,411694.62728897366,759754.8546134214,14.129232343339096
12,1734703.1390933625,453629.3729890014,452765.41611138516,828293.8743226258,14.475670350150907
13,1837841.6687978078,483776.70659628103,483083.28216606425,870966.9278391785,14.752196283867193
14,1965068.6020393923,519990.3045629528,521074.0254291582,923989.1898491133,15.082198168067503
15,2065629.4698063922,550429.6240727593,549894.821265475,965289.6976594805,15.326808677435633
16,2168439.60146532,578495.9692427891,578110.2869329274,1011817.7275881422,15.617701461486497
17,2266473.7916235253,606150.78450814,605880.224135115,1054426.930897577,15.852082693309402
18,2353923.763279497,630932.6179691063,630262.947851135,1092712.1164715344,16.080987721567002
19,2453490.7729136175,662376.6950067102,660929.8898459316,1130167.8695756837,16.31848529209064
20,2552674.414097536,694600.3838577919,693112.6325811209,1164944.8364602083,16.56119841475624
21,2658168.9831927638,732601.3051044148,731217.5302167839,1194333.3072267412,16.84064482405692
22,2783362.6826240374,773096.6003211963,770237.8053535349,1240011.047090873,17.229858433526513
23,2872715.845334885,806493.1026019609,785186.9203982303,1281018.3806081288,17.44172656500093
24,3033384.51962904,858137.3440456424,822949.8563198016,1352279.5311815927,17.788082003046643
25,3086126.122780266,888453.0520785729,831904.4966228514,1365750.6728062078,17.901272634571967
26,3121642.5520526543,918220.821557301,836733.9416138545,1366669.8240436455,17.964837853375283
27,3143542.696187999,946871.5461806043,837177.2398687082,1359475.9148956279,17.995243059080327
28,3146080.34704521,952978.7058094195,835276.0338371829,1357807.607849024,17.99954958388172
29,3146405.4167819214,952036.5703203789,832568.2902643165,1361782.5566479056,17.999549320332186
