frame_id,total score,0's score,1's score,2's score,3's score
0,58706492.41011968,21194840.263022736,20597751.491954576,16910859.867856145,3040.7872862194467
1,74648273.68313305,26099790.47906808,26320678.421223927,22224721.179586597,3083.6032544494315
2,81888246.87155795,28725983.699150726,28334894.972976666,24824270.9336848,3097.265745759619
3,87625539.08258909,31112240.32274637,29957298.674671922,26552885.599449784,3114.4857210191503
4,95640840.00523646,34022240.70709651,32344122.25239368,29271341.877777148,3135.1679691285112
5,100461218.8108185,35507193.55403722,33865935.02734141,31084941.391473494,3148.8379663671494
6,105235574.60700455,37482120.034030914,35346892.02356955,32403400.243442778,3162.305961301032
7,110389294.93253621,39398134.256084464,36782788.42127105,34205200.04545229,3172.2097284006977
8,115839365.56511606,41801579.672240645,38099038.39712776,35935559.29625849,3188.1994891581357
9,123353789.66381237,44425441.04672195,39886568.50006378,39038573.88500356,3206.2320230821883
10,127286847.62727228,45683539.739131734,41012566.39971906,40587525.972810574,3215.5156109022187
11,130948596.72766142,47056603.4282854,42078227.41371523,41810540.11581991,3225.7698408839724
12,134936453.4872998,48826078.091421135,42891916.16110241,43215224.120143086,3235.1146331696564
13,138616777.92560217,50077416.40515242,43764551.605769224,44771564.45656136,3245.458119184183
14,141139919.13066894,51227702.08234237,44223964.68949606,45684999.66383253,3252.694997983557
15,143579254.47143328,52213573.25928562,44751554.381694846,46610867.72422151,3259.106231287119
16,146309696.27132863,53290303.55410184,45297415.308409095,47718712.6110904,3264.7977273022734
17,148488224.36563358,54029022.35279367,45773643.48126968,48682288.63806709,3269.8935031348205
18,151178567.30783477,54774910.634702615,46242335.62078207,50158044.40617744,3276.6461726579887
19,151706421.34422597,55440801.06331447,46637452.330389805,49624886.29450319,3281.6560185215126
20,153788202.78663397,56022899.08741385,47057512.249189496,50704506.1265091,3285.3235215244636
21,154960307.63726783,56389844.159937516,47356637.2131979,51210537.53227397,3288.7318584238287
22,156127920.05145687,56762292.561980695,47782151.82565476,51580183.000473954,3292.6633474695072
23,157645239.27960667,57269052.22111446,48039372.695629396,52333518.77291643,3295.5899463807905
24,158521517.91459754,57553041.63513991,48396401.305640705,52568775.96570418,3299.008112760335
25,159472909.58999872,58001195.05458015,48590790.666413486,52877622.28420046,3301.584804622452
26,160539489.98666862,58351709.6806976,48873367.286873534,53311108.97261671,3304.046480775672
27,161338962.56283027,58561669.978764445,49084885.67986385,53689100.47717541,3306.4270265641167
28,162191321.06975353,58820870.78977008,49302991.86555188,54064149.46793242,3308.9464991311293
29,162958175.5503602,59049742.17604543,49495949.61670871,54409172.767013855,3310.990592180338
30,164426618.84582633,59112632.85735481,49831988.16697542,55478684.24729425,3313.574201833686
31,165602952.54770336,59216944.4810409,50034061.28039273,56348630.91579287,3315.870476848757
32,166357228.2176733,59210277.249670945,50263641.241109625,56879992.80969846,3316.917194254365
33,167120782.97310567,58840879.74172871,50549923.16673892,57726661.659515865,3318.405122183586
34,167885690.69050694,58687527.78899285,50757128.63785416,58437714.242958486,3320.020701436814
35,168409902.04699704,58818579.7066847,50928627.80870024,58659374.33744765,3320.194164455678
36,168767395.6760552,58596069.28398628,51090303.787670985,59077700.592959575,3322.01143836007
37,169383535.44657743,58830913.06504203,51262187.675573066,59287112.644637726,3322.0613246121397
38,168977703.31180015,58546909.72495229,51423787.26949177,59003683.18388465,3323.1334714413038
39,169230416.73097807,58766817.68265511,51531525.9635538,58928750.511995144,3322.572774032994
