frame_id,total score,0's score,1's score,2's score,3's score
0,59640542.87025356,21439151.66109637,20950098.514786564,17248245.519385017,3047.1749856131705
1,79590865.91947567,28358327.11334747,28023175.723742098,23206262.381135754,3100.701250354543
2,86484893.74823913,31076923.49702604,29833017.12842099,25571831.705228534,3121.417563558735
3,93535001.61618562,33362268.27395453,32585901.70212613,27583692.947278064,3138.6928268908864
4,100691052.03637388,36105122.32635371,34984099.149665385,29598671.31539589,3159.2449589099024
5,108239488.93439227,38355760.45594402,38224167.3398271,31656385.0603928,3176.0782283535436
6,116465694.7484296,40975199.37682554,40951974.09738843,34535328.7515489,3192.5226667284
7,121592538.88601735,43074492.94806067,42386387.33994781,36128450.12511038,3208.4728984971234
8,126833493.81856798,44542841.030226275,44335204.67962549,37952225.43356619,3222.675150022638
9,133909341.29043928,47249397.37001229,46682276.17460416,39974427.46123084,3240.284591982863
10,139960166.11204043,49036137.38623474,48512626.35378443,42408148.22881297,3254.1432082773676
11,146660426.9645729,51278894.58435848,50663161.625432104,44715096.11496839,3274.639813926847
12,153151548.36611798,53203059.83767097,52473472.97410243,47471726.969464496,3288.5848801050147
13,158339779.55923578,54399504.598533146,53764813.2855373,50172160.40120146,3301.2739638638213
14,162204590.91118956,55451569.34938708,54817345.92811788,51932364.78127648,3310.8524081290193
15,166558787.93993855,57000174.25037967,55571398.45462816,53983893.018429875,3322.216500854738
16,169263732.31514034,57342346.24446756,56386659.46781986,55531396.20836259,3330.394490328839
17,172409388.83198977,57924965.57842309,56829881.38764375,57651207.1330904,3334.7328325240132
18,173080920.65464175,57989923.25440195,57226399.96265669,57861257.57480434,3339.862778754902
19,174330635.59933224,58484869.63680954,57529704.09149801,58312721.048347734,3340.822676955915
20,174054298.180941,58552435.19006785,57617901.11903087,57880620.34780489,3341.524037372453
21,173801519.19032305,58570999.24468669,57782128.609301955,57445049.27927121,3342.0570632131894
22,173605739.53285652,58641485.68727721,57719105.43002936,57241806.55083874,3341.86471119081
23,173419145.15849277,58930952.2177391,57650738.36535569,56834112.554810986,3342.0205869918523
24,173252187.0907202,58940646.74429923,57636912.09009409,56671286.287631564,3341.9686953088576
25,173365016.78392324,59147237.53381744,57686284.3410584,56528152.099015154,3342.8100322431146
26,173115674.22908515,59236498.94284014,57670659.50706077,56205172.999870025,3342.779314206773
27,172849125.90372407,59262704.66599935,57517985.32355104,56065092.42954092,3343.4846327553164
28,172249086.40144733,59290447.91201979,57415480.92360863,55539815.07307825,3342.4927406608417
29,171701698.61852935,59144408.04412432,57403350.23971309,55150596.792066336,3343.5426256095398
30,171970334.49384427,59554191.61014868,57326004.94618867,55086794.51997139,3343.4175355204748
31,171857673.1909839,59403984.89826441,57402676.86266464,55047666.67972179,3344.750333067051
32,171659795.55782622,59679522.534182236,57179690.55890441,54797238.013875015,3344.4508645748306
33,171161783.10884124,59632580.452405624,57170651.71990764,54355206.51986268,3344.416665278397
34,170589977.7422152,59218573.99674133,57380258.35289717,53987801.935387544,3343.4571891422925
